,,vs L2 + concatenación ,,,,,,,,,,,,,,,,,,,,
LEXVEC + UKB,DRA,-0.051,-0.063,0.642,0.580,0.487,0.728,0.756,0.818,0.816,0.818,0.741,0.682,0.815,0.741,0.676,0.775,0.444,0.813,0.607,0.362,0.532
LEXVEC + UKB,PCA,-0.075,-0.074,0.618,0.569,0.490,0.679,0.746,0.812,0.807,0.811,0.722,0.654,0.796,0.716,0.668,0.754,0.361,0.792,0.587,0.372,0.488
LEXVEC + UKB,tSVD,-0.079,-0.074,0.614,0.569,0.493,0.668,0.747,0.809,0.804,0.807,0.722,0.651,0.792,0.714,0.668,0.747,0.349,0.775,0.591,0.374,0.486
Sin aplicar normalización L2,,,,,,,,,,,,,,,,,,,,,,
GLOVE + jointcHYB,DRA,-0.043,-0.039,0.648,0.593,0.545038297,0.5792509958,0.6556902967,0.7620505133,0.775568232,0.7665806421,0.7707762341,0.6873398163,0.8077543806,0.7639755099,0.7140009097,0.8509796678,0.3306134382,0.8944030764,0.817509939,0.5608408736,0.357147142
GLOVE + jointcHYB,PCA,-0.039,-0.034,0.652,0.598,0.5419633983,0.6268928821,0.6912265923,0.7761900444,0.7818637271,0.7784025203,0.7565591688,0.6691733061,0.8255020613,0.7733426382,0.6681847713,0.8643113984,0.3075080044,0.8772672126,0.8172992983,0.5582626561,0.3557693485
GLOVE + jointcHYB,tSVD,-0.040,-0.036,0.651,0.596,0.5410459261,0.6245246595,0.6922459462,0.7771775187,0.7832933814,0.7795626967,0.7560277255,0.6680739644,0.8252997881,0.7729405436,0.6677002381,0.8632623442,0.3044028786,0.8772672126,0.8161147868,0.5578903988,0.3455735729
FT + jointcHYB,DRA,-0.027,-0.038,0.678,0.618,0.5163703899,0.7073126948,0.7534671096,0.8158250595,0.8166269144,0.8161048594,0.8076769016,0.7465869134,0.8231500973,0.8111529317,0.7406194831,0.8924391646,0.369381255,0.8821631737,0.7376962917,0.4999934765,0.477722459
FT + jointcHYB,PCA,-0.054,-0.068,0.651,0.588,0.4817724921,0.6928038414,0.7448701221,0.8050494307,0.8036527171,0.8046143919,0.7525418334,0.6767982086,0.8219393272,0.7807445292,0.6520811682,0.8966135262,0.3137604888,0.8525648633,0.7385251762,0.4686895239,0.4182201885
FT + jointcHYB,tSVD,-0.050,-0.068,0.655,0.588,0.4831149836,0.6889786416,0.7457064288,0.8038116501,0.8020066443,0.8034004758,0.7649088046,0.6901856567,0.8238996558,0.7921723922,0.667376966,0.8944935625,0.3312770985,0.8648047661,0.7365418716,0.464581353,0.4247896741
LEXVEC + jointcHYB,DRA,-0.039,-0.037,0.652,0.600,0.5486052874,0.5949010634,0.6606843336,0.7739919874,0.7902209727,0.7795167923,0.7840830526,0.7095437453,0.8161680853,0.7845108151,0.7143796857,0.8466741744,0.3236470161,0.8930678143,0.8144761669,0.5624787117,0.3623946922
LEXVEC + jointcHYB,PCA,-0.037,-0.039,0.654,0.598,0.5387549027,0.6358771519,0.6944869327,0.780269732,0.7861251469,0.7824023723,0.7601803771,0.6778645551,0.8261081636,0.7771441073,0.6688778188,0.8715455015,0.3134326808,0.8806053679,0.8130345096,0.5570067034,0.3492604466
LEXVEC + jointcHYB,tSVD,-0.040,-0.039,0.651,0.598,0.5424741161,0.6357141939,0.6956446781,0.7815913261,0.7868779304,0.7835574651,0.7599964999,0.6736404131,0.8284981435,0.7753480849,0.6698678866,0.8612735123,0.3023234097,0.8741516009,0.809171853,0.557273279,0.3440598684
W2V + jointcHYB,DRA,-0.029,-0.021,0.656,0.607,0.5490480604,0.6179675005,0.6697491397,0.7789165511,0.7930653663,0.783801695,0.7838799419,0.7045985821,0.8145204911,0.7791914389,0.7227255074,0.8562249388,0.3146493914,0.8961834259,0.7985933167,0.5633074805,0.385615514
W2V + jointcHYB,PCA,-0.028,-0.025,0.657,0.603,0.5406296872,0.6503844824,0.7014146322,0.7869950783,0.7912950049,0.7886597768,0.7682278704,0.6851992494,0.834485287,0.7870775188,0.6709187086,0.8776649844,0.3073772834,0.874819232,0.8036240714,0.5529767922,0.3646526382
W2V + jointcHYB,tSVD,-0.026,-0.024,0.659,0.604,0.5396935347,0.6457587066,0.7037526015,0.7877509104,0.7907261814,0.7889829832,0.764875794,0.6803819428,0.8320730714,0.7806222254,0.6704274249,0.8755450207,0.3109690934,0.8799377368,0.8139071636,0.5546849098,0.36547876
