,,,,,,,,,,,,,,,,,,,
Embeddings,Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,
FT+jointcHYB+LEXVEC,0.701,0.638,0.5510394463,0.7348815468,0.7914069113,0.8485781264,0.8542966937,0.8504840652,0.8082710924,0.7538196224,0.8585665578,0.7843985637,0.7551607292,0.8907781621,0.4616360696,0.8852787853,0.7202760385,0.4811145883,0.5324386714
FT+UKB+LEXVEC,0.713,0.654,0.5635443804,0.7685684341,0.8058351216,0.8564931744,0.8641781183,0.8590996886,0.8153425905,0.7727637706,0.8620977315,0.7952567927,0.769668223,0.8910185704,0.4700746109,0.8792701057,0.7332208623,0.493239161,0.5670673465
jointcHYB+UKB+LEXVEC,0.703,0.644,0.5763878893,0.7324897182,0.772155704,0.8377931183,0.8500897657,0.8420773683,0.8074654701,0.7545575162,0.8617297664,0.8061602573,0.7362241821,0.8881555266,0.4131184797,0.9033048239,0.7917625422,0.5465947832,0.4604904537
GLOVE+W2V+FT+jointcHYB,0.688,0.623,0.5169539032,0.7290290165,0.7768802649,0.8449031451,0.8501261555,0.846772706,0.8037269514,0.754767111,0.8500782559,0.78497825,0.7438657055,0.8946246943,0.4426513629,0.8772672126,0.6926246694,0.4458535,0.5405325457
GLOVE+W2V+FT+UKB,0.698,0.636,0.53197054,0.7553766983,0.7899763885,0.8526375736,0.8594777273,0.8550811386,0.8102383605,0.7683094118,0.8534021355,0.7919277847,0.7576051467,0.8928544153,0.4469912991,0.8730388825,0.7016794806,0.4558210169,0.5665404441
GLOVE+W2V+FT+LEXVEC,0.659,0.596,0.4760959554,0.7296557198,0.7609373264,0.838128551,0.8409927308,0.8391464232,0.7808435123,0.7333224477,0.828039801,0.7534540351,0.7408107462,0.8415163245,0.4497243728,0.8398798732,0.5957737519,0.3756767746,0.5597083221
GLOVE+W2V+jointcHYB+UKB,0.701,0.638,0.5542627843,0.7350394283,0.7809860367,0.845762996,0.8536300502,0.8485041327,0.8127638078,0.7660109926,0.8590478532,0.8130963888,0.7398214285,0.8983182393,0.4371510268,0.8866140474,0.7543615213,0.5044332735,0.4951574394
GLOVE+W2V+jointcHYB+LEXVEC,0.678,0.610,0.5092213878,0.7287713803,0.7717793457,0.8366337669,0.8417267402,0.8383826309,0.7985232805,0.7504953509,0.8430546416,0.7852429623,0.7406922381,0.8737528864,0.4488917808,0.8632469603,0.6701080074,0.4252000258,0.5274860906
GLOVE+W2V+UKB+LEXVEC,0.686,0.621,0.5217868163,0.7488840118,0.7847989618,0.8444318002,0.850783724,0.846673855,0.8044875593,0.7639480395,0.8465105008,0.7894733323,0.7530290832,0.8689010106,0.4301363386,0.8732614262,0.6859580304,0.4326492996,0.5492271848
GLOVE+FT+jointcHYB+UKB,0.715,0.654,0.5686990597,0.7507704673,0.7971576337,0.8593485456,0.8682913197,0.8625846287,0.8250146963,0.776929796,0.8696693484,0.8228522085,0.7606061022,0.9078690037,0.4420761907,0.8846111542,0.7869096011,0.5217435104,0.5128844041
GLOVE+FT+jointcHYB+LEXVEC,0.690,0.625,0.5254424841,0.7428827378,0.7887139623,0.8510847094,0.8561218229,0.8527353367,0.8118365101,0.7627054684,0.8570244039,0.7913950093,0.7608498689,0.8751297701,0.4438841622,0.8607989798,0.7072081131,0.4414214674,0.5412805513
GLOVE+FT+UKB+LEXVEC,0.700,0.637,0.5373292705,0.7654516705,0.8008046092,0.8580134129,0.8649452225,0.860409687,0.8189205576,0.7787175386,0.8592013513,0.8006900957,0.7734064791,0.8809214235,0.4432707792,0.8710359893,0.7110297358,0.4493842174,0.5658056275
GLOVE+jointcHYB+UKB+LEXVEC,0.705,0.641,0.5584700916,0.7513898096,0.7918250449,0.850691587,0.8602282781,0.8539846763,0.8208868708,0.7733325637,0.8633730569,0.8180438275,0.7547316998,0.8860355629,0.4360107378,0.885501329,0.7680039212,0.5000144563,0.5001106237
W2V+FT+jointcHYB+UKB,0.710,0.653,0.5704682317,0.731627208,0.7835485196,0.8475641339,0.8554916534,0.8502948054,0.8063549771,0.7579151579,0.8584876569,0.8019432904,0.7309595714,0.9052245129,0.4533282493,0.8941805327,0.7669671316,0.5326282199,0.5172841649
W2V+FT+jointcHYB+LEXVEC,0.688,0.624,0.5257691911,0.7284639936,0.7787754621,0.8384552917,0.8449023819,0.8405685054,0.7932173039,0.741275428,0.8447646392,0.7680852516,0.7385208394,0.8902973456,0.4625732384,0.8799377368,0.6723265729,0.4515909433,0.5449156539
W2V+FT+UKB+LEXVEC,0.696,0.637,0.5377677705,0.7524426914,0.7916303331,0.8456982634,0.8538385282,0.8484266436,0.7988962184,0.7540805848,0.8486759718,0.7750146815,0.7482865083,0.8835877697,0.4673234373,0.8685880088,0.6762767685,0.46197787,0.5685240475
W2V+jointcHYB+UKB+LEXVEC,0.702,0.642,0.5624788756,0.7373627232,0.7794913519,0.8394766424,0.8488084018,0.842685266,0.8037433203,0.7529373744,0.8543073439,0.7954930232,0.7346678254,0.8870190512,0.4616320474,0.8859464163,0.7450358864,0.5132541259,0.505697102
FT+jointcHYB+UKB+LEXVEC,0.716,0.657,0.5774812959,0.7498340929,0.7951676531,0.853934742,0.8630737941,0.8571119646,0.8179629774,0.769071677,0.8663827675,0.803935334,0.7564958207,0.8952584978,0.4586395428,0.8972961444,0.7756061328,0.5306759817,0.5197866643
GLOVE+W2V+FT+jointcHYB+UKB,0.707,0.645,0.5530407141,0.7431957087,0.7907735904,0.8530484549,0.8605484826,0.8557026399,0.8154249806,0.769746205,0.8608625738,0.8093384799,0.7494813402,0.9017713761,0.4496338737,0.8946256201,0.7499599529,0.4942763323,0.5329477046
GLOVE+W2V+FT+jointcHYB+LEXVEC,0.682,0.617,0.5110465226,0.734918352,0.7785653938,0.8433420553,0.8481359364,0.8450324768,0.8009101378,0.7535826565,0.8468877906,0.7786653652,0.7500393784,0.876528509,0.4520270729,0.8654723972,0.6652140324,0.4272773939,0.5477016891
GLOVE+W2V+FT+UKB+LEXVEC,0.690,0.627,0.5225678933,0.7527488089,0.78945398,0.8498578303,0.8562751369,0.8520900267,0.8078599604,0.7668831171,0.8499670774,0.7872852677,0.7612976496,0.8784954857,0.4471964304,0.8663625719,0.6736396573,0.4347478553,0.5658909403
GLOVE+W2V+jointcHYB+UKB+LEXVEC,0.698,0.634,0.545047914,0.7451187156,0.7868946835,0.8461305373,0.8537883999,0.84882912,0.8137396667,0.7695069894,0.8556830886,0.8047361724,0.7499336212,0.8871283277,0.4468022564,0.8846111542,0.7251262441,0.4768067046,0.5222838807
GLOVE+FT+jointcHYB+UKB+LEXVEC,0.709,0.646,0.5574160737,0.7542128933,0.7995034318,0.857464086,0.8655894666,0.8603349899,0.8221707376,0.7767843169,0.8642036682,0.8091324064,0.7654709355,0.8906033198,0.4511019707,0.8830533484,0.7558141209,0.4907127698,0.5343088244
W2V+FT+jointcHYB+UKB+LEXVEC,0.706,0.646,0.5588468274,0.7434315156,0.7910462368,0.8479346749,0.8564460126,0.850786882,0.8082222586,0.7606470147,0.8573299655,0.7928995132,0.7462538691,0.8979029887,0.4668065867,0.8812729989,0.7343014214,0.5006460991,0.5376363006
GLOVE+W2V+FT+jointcHYB+UKB+LEXVEC,0.702,0.638,0.5427717795,0.7482141576,0.7926000434,0.8511040426,0.8585067067,0.8537299094,0.8131480676,0.7689306973,0.8578413868,0.7972940719,0.7571153631,0.8953896296,0.4543860836,0.8830533484,0.7211268078,0.4711904166,0.5438655079
Normalize: True. Generate words: False,,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOVE+W2V,0.644,0.575,0.4542629153,0.7113810625,0.7311099516,0.8246279723,0.8247734192,0.8247428638,0.7632968779,0.7113412366,0.8159012568,0.752530893,0.7073277026,0.8423686811,0.4388865991,0.8498943391,0.5812887895,0.3572925808,0.5245256244
GLOVE+FT,0.669,0.605,0.4817765543,0.7386059766,0.7695970883,0.8512428532,0.8550812755,0.8525093703,0.7979331819,0.7466888988,0.8454044537,0.7742021153,0.7552994887,0.8496464947,0.4436428312,0.8401024169,0.6376830293,0.3839617543,0.5627688474
GLOVE+jointcHYB,0.683,0.619,0.5326563798,0.7268201984,0.7749190597,0.8410326958,0.8483288059,0.8435639847,0.8084103644,0.751543325,0.8539035148,0.8109368058,0.7415345458,0.8788014598,0.4059328487,0.8458885527,0.7597068691,0.4801773149,0.456731917
GLOVE+UKB,0.705,0.642,0.5577171916,0.7508456007,0.7893282741,0.8528332568,0.8622567657,0.8562334182,0.8174203486,0.7684503915,0.8610856482,0.8291567164,0.7473871967,0.8963512627,0.4122416437,0.8834984358,0.7857524454,0.5056192863,0.4983845522
GLOVE+LEXVEC,0.641,0.577,0.4658910418,0.7293569633,0.7528486871,0.8321431636,0.8315758637,0.8320216429,0.7773784906,0.7324064545,0.8223438736,0.7597769723,0.7385605921,0.774923237,0.4114995508,0.8227440093,0.6109945887,0.3456815153,0.5295046086
W2V+FT,0.660,0.599,0.4764382193,0.7207166314,0.7442953209,0.8249624717,0.8278744986,0.8261022634,0.7530511787,0.6980636477,0.8184124571,0.7222581974,0.7094045949,0.8563342153,0.4624485507,0.8616891545,0.5878159133,0.3980537881,0.5675814773
W2V+jointcHYB,0.679,0.615,0.5362645584,0.6981309461,0.7440277672,0.8170956789,0.8199696146,0.8181728669,0.7732979985,0.7122283589,0.8343368098,0.7684538383,0.6889844461,0.896154565,0.4446443549,0.8757094068,0.7185553508,0.4954090786,0.4661414441
W2V+UKB,0.693,0.636,0.5608144056,0.71239404,0.7601312615,0.8247227159,0.8298927708,0.8266273634,0.7760556112,0.7241092738,0.838540793,0.7840031707,0.6911895971,0.8879806842,0.4511816892,0.8850562416,0.7442699205,0.5208380429,0.5004251462
W2V+LEXVEC,0.636,0.576,0.4666283669,0.7111071813,0.7364118405,0.8118390569,0.8145574695,0.8127464447,0.7336824137,0.6742560745,0.8016036971,0.7103042607,0.7000537043,0.810263251,0.4534891367,0.8236341841,0.5436278873,0.3638552022,0.5386856142
FT+jointcHYB,0.705,0.649,0.5708389373,0.7203371574,0.7837977661,0.8497729552,0.8535746642,0.8512661537,0.8099617262,0.7532058357,0.8615949176,0.7961665317,0.7479174831,0.9100545334,0.4224419013,0.8886169406,0.7696890462,0.5323421904,0.4980032825
FT+UKB,0.724,0.671,0.5911771185,0.7490751449,0.7944785357,0.8548045811,0.864312178,0.8582987655,0.8164128432,0.7739167297,0.8639440125,0.8128149226,0.7559302819,0.9025581668,0.4662294033,0.8901747464,0.7943640907,0.5569851749,0.5447146051
FT+LEXVEC,0.667,0.606,0.4967955442,0.7415146007,0.7742619645,0.8410675302,0.8426563594,0.8414610515,0.7765002995,0.7224673851,0.8363143532,0.7421836592,0.7500236273,0.8228519016,0.4700947218,0.8501168828,0.5972072024,0.3904922232,0.5725409937
jointcHYB+UKB,0.657,0.607,0.5553279461,0.653336765,0.7090514138,0.7911696504,0.8024338456,0.7952448156,0.7568194342,0.6912861233,0.828736998,0.7838775161,0.6541055568,0.8735561887,0.2795477949,0.8908423774,0.8015969973,0.5687731747,0.3480330018
jointcHYB+LEXVEC,0.691,0.627,0.5529228247,0.7188768804,0.7735143406,0.8326931027,0.8419085215,0.8357980456,0.8002750248,0.7386894252,0.8533612505,0.7942817133,0.7360224182,0.8713269485,0.4501829018,0.8837209795,0.735814204,0.4941898825,0.479345681
UKB+LEXVEC,0.703,0.645,0.569077944,0.755153329,0.7883193805,0.8417463908,0.8501396359,0.8447684725,0.8096809997,0.7618213456,0.8580910005,0.8023654897,0.7545711888,0.8683109176,0.4202478002,0.8834984358,0.7645598102,0.5157654355,0.5115543897
GLOVE+W2V+FT,0.664,0.598,0.4732739391,0.7276659559,0.7550270432,0.838564303,0.8418344453,0.839796363,0.7801672043,0.7295167455,0.8307970287,0.7546720466,0.7349153424,0.8655790056,0.4516650764,0.8656949409,0.607085427,0.382926904,0.5589574661
GLOVE+W2V+jointcHYB,0.680,0.612,0.5130641898,0.7200208867,0.7641647544,0.8354643385,0.8395040833,0.8369976354,0.7983018912,0.7479059736,0.8448213044,0.793251346,0.7307420565,0.8882429478,0.4447851313,0.8730388825,0.6888714364,0.4438377965,0.5090747534
GLOVE+W2V+UKB,0.697,0.632,0.538822992,0.7508976356,0.7827030568,0.8462903245,0.8515828966,0.848306362,0.8072794104,0.7652824725,0.8488108206,0.8029217206,0.7426768741,0.8936193506,0.4437494191,0.8779348436,0.7216274212,0.4664190774,0.5358761427
GLOVE+W2V+LEXVEC,0.648,0.582,0.4657732968,0.7225551133,0.7475737146,0.8285126796,0.829847222,0.8290837396,0.7706748834,0.7229353178,0.8219701703,0.7512106824,0.7289749355,0.8254526818,0.4404069845,0.8496717954,0.5821915351,0.3581969024,0.5404931414
GLOVE+FT+jointcHYB,0.698,0.634,0.5350933492,0.7396106309,0.7896590866,0.8553507458,0.8606508725,0.8573018508,0.8159785219,0.7656859144,0.8605233,0.8024107254,0.7601170687,0.8937067718,0.4333359857,0.8688105525,0.7402075656,0.4672651933,0.5330179832
GLOVE+FT+UKB,0.715,0.654,0.5595580758,0.7656961076,0.8057590985,0.8638831346,0.8722898418,0.8668168598,0.8285170937,0.7857856463,0.8686142283,0.8208852959,0.7727029309,0.9044814328,0.4433351341,0.8770446689,0.7644257662,0.4908275695,0.5624978842
GLOVE+FT+LEXVEC,0.664,0.600,0.4842521181,0.740565281,0.7703174554,0.8458863506,0.8475981671,0.8464394544,0.7926308883,0.7457406602,0.8392085815,0.7645853533,0.7579591709,0.8210597673,0.4513674348,0.8465561838,0.618900451,0.3751518077,0.5607138812
GLOVE+jointcHYB+UKB,0.702,0.641,0.5666102339,0.7388897572,0.7783540032,0.8456068313,0.8572287699,0.849713391,0.8139797437,0.7616158752,0.8645357692,0.8250318962,0.7410942657,0.8949962343,0.4098243113,0.8857238726,0.7979860152,0.5380317192,0.4468898932
GLOVE+jointcHYB+LEXVEC,0.684,0.616,0.5215981595,0.7374759309,0.7807521416,0.8430637935,0.8486307618,0.8448571617,0.8076350246,0.7572413799,0.8507611073,0.7978469519,0.753041084,0.8633279101,0.441032434,0.8679203777,0.7091968888,0.4376819374,0.5139522718
GLOVE+UKB+LEXVEC,0.695,0.633,0.5421031516,0.7624750203,0.7973711844,0.8522625966,0.8595050303,0.8548226355,0.8172618431,0.7760505475,0.8565926008,0.8095613073,0.7623814739,0.8679393776,0.4085895009,0.867030203,0.7322442558,0.4583439669,0.5381408924
W2V+FT+jointcHYB,0.691,0.631,0.5330167283,0.7187453971,0.7720890545,0.8386866353,0.8435103119,0.8403265438,0.7918398616,0.7388371539,0.8455321297,0.7715851498,0.7266895289,0.8960234332,0.4522161156,0.8792701057,0.7008478605,0.4769369458,0.5376443927
W2V+FT+UKB,0.708,0.651,0.5574798059,0.7471201556,0.7875714293,0.8470919421,0.8546250667,0.8496928289,0.801378561,0.755489632,0.8545741724,0.7884630697,0.7356743944,0.895192932,0.4726870191,0.8859464163,0.7248143865,0.5018514045,0.5645835287
W2V+FT+LEXVEC,0.658,0.598,0.4803304483,0.7275055361,0.7587096279,0.8299333003,0.8339382342,0.8312486018,0.760437778,0.7081748174,0.8197674007,0.7274100342,0.7278431079,0.8397460455,0.464974482,0.848559077,0.5697801518,0.386162889,0.5659618698
W2V+jointcHYB+UKB,0.693,0.639,0.5696011013,0.7091425465,0.7586204346,0.8300336113,0.8371888458,0.8326056892,0.7903528841,0.7371303996,0.8496995316,0.7981284181,0.7021981012,0.8924610199,0.4133779105,0.8739290573,0.7796383962,0.5476419936,0.4562143108
W2V+jointcHYB+LEXVEC,0.680,0.615,0.5229616785,0.7196340517,0.7669450245,0.8270124923,0.8342488174,0.8294226485,0.7828519755,0.7273420585,0.8375236887,0.767002947,0.7204678527,0.8783862092,0.4645903635,0.8821631737,0.6670195234,0.4505991258,0.5208037209
W2V+UKB+LEXVEC,0.692,0.633,0.5443588906,0.7453431002,0.7833806404,0.8375600289,0.845200139,0.8401136554,0.7932192136,0.7470600953,0.8441621232,0.7784291346,0.7351253568,0.8729660957,0.4530285967,0.8616891545,0.6963423396,0.4737497757,0.5428290495
FT+jointcHYB+UKB,0.712,0.659,0.5887655336,0.7306248381,0.7787349697,0.8481397974,0.8571466391,0.8513439725,0.8117167443,0.7622682813,0.8660972897,0.8134582739,0.740222706,0.9022959032,0.4222991138,0.8863915037,0.8062338266,0.5681588109,0.4805093916
FT+jointcHYB+LEXVEC,0.699,0.637,0.5474765362,0.7363001959,0.7922275603,0.848886362,0.8542184581,0.8506888763,0.8076041965,0.7533378167,0.8589137217,0.7834234843,0.7552349843,0.8898383844,0.4636954276,0.8788250184,0.7102008513,0.4741942252,0.5401201957
FT+UKB+LEXVEC,0.714,0.655,0.5658388462,0.7693984543,0.8058006383,0.8565867837,0.864321241,0.8592377726,0.8162281476,0.7728560073,0.8633343237,0.7970528151,0.7691529377,0.8888111855,0.4701972875,0.8814955426,0.7372613325,0.4970776149,0.5656364008
jointcHYB+UKB+LEXVEC,0.703,0.645,0.5761335625,0.7352952878,0.7729359784,0.8382567929,0.8501747834,0.8423811768,0.8074141809,0.7547554877,0.8618445314,0.8084304163,0.7358161541,0.8873250253,0.4076764653,0.9015244744,0.7899597867,0.5465039353,0.4642283295
GLOVE+W2V+FT+jointcHYB,0.687,0.622,0.5149940884,0.7304098451,0.7763555261,0.8448885832,0.8499570684,0.8467378571,0.8024140298,0.7533558141,0.8497468721,0.7826879863,0.7434884297,0.8933570871,0.446245184,0.8772672126,0.6856899423,0.441977751,0.5461951247
GLOVE+W2V+FT+UKB,0.700,0.639,0.5363611556,0.757089535,0.7915182556,0.8531216873,0.8597472633,0.8555406923,0.8114723022,0.7698909341,0.8553251655,0.7932865292,0.7573261276,0.8934445083,0.4507641073,0.8730388825,0.7058512592,0.4616718014,0.5661778939
GLOVE+W2V+FT+LEXVEC,0.660,0.596,0.4765516854,0.7306327068,0.7611544381,0.8380470032,0.8409355502,0.8390620866,0.7802697827,0.7327199094,0.8280082407,0.7526934062,0.7406569857,0.8428494976,0.4511381704,0.8425503975,0.5947779962,0.3766180956,0.5603139992
GLOVE+W2V+jointcHYB+UKB,0.702,0.639,0.5560888201,0.7378376369,0.7813969686,0.8459329073,0.8536426844,0.8486356077,0.8122992041,0.7657177848,0.8588348208,0.8126842419,0.7395131574,0.9014872573,0.4367226643,0.8924001832,0.7532727555,0.5062760588,0.498294746
